timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782549498,154,HTTP Request-0,301,Moved Permanently,Test Youtube 1-20,text,true,,1561,114,1,2,https://youtube.com/,154,0,88
1764782549652,343,HTTP Request-1,200,OK,Test Youtube 1-20,text,true,,716005,118,1,2,https://www.youtube.com/,171,0,70
1764782549713,747,HTTP Request 1,200,OK,Test facebook 2-24,text,true,,73314,234,1,1,https://www.facebook.com/,258,0,64
1764782549713,258,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-24,text,true,,498,115,1,1,https://facebook.com/,258,0,64
1764782549971,489,HTTP Request 1-1,200,OK,Test facebook 2-24,text,true,,72816,119,1,1,https://www.facebook.com/,389,0,88
1764782550702,520,HTTP Request,200,OK,Test Youtube 1-21,text,true,,717931,232,1,2,https://www.youtube.com/,142,0,86
1764782550702,142,HTTP Request-0,301,Moved Permanently,Test Youtube 1-21,text,true,,1561,114,1,2,https://youtube.com/,142,0,86
1764782550844,378,HTTP Request-1,200,OK,Test Youtube 1-21,text,true,,716370,118,1,2,https://www.youtube.com/,188,0,66
1764782550714,715,HTTP Request 1,200,OK,Test facebook 2-25,text,true,,73292,234,1,1,https://www.facebook.com/,296,0,88
1764782550714,296,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-25,text,true,,498,115,1,1,https://facebook.com/,296,0,88
1764782551011,418,HTTP Request 1-1,200,OK,Test facebook 2-25,text,true,,72794,119,1,1,https://www.facebook.com/,345,0,70
